Product ID,Product,Description,Price,Category
1,Anxietin,This prescription helps to control seizures in individuals with epilepsy,388.45,Novartis
2,triple antibiotic,This medication is used to treat high blood pressure,416.29,Pfizer
3,"COMPRESSED GAS, OXIDIZING, N.O.S.",This prescription helps to control seizures in individuals with epilepsy,140.09,AstraZeneca
4,Gentamicin Sulfate in Sodium Chloride,This medicine is used to manage anxiety and panic disorders,82.66,AstraZeneca
5,Sinusitis,This drug is used to relieve symptoms of allergies such as sneezing and itching,354.87,Merck
6,Acyclovir,This medication is prescribed to treat depression and improve mood,124.96,Johnson & Johnson
7,flu and sore throat,This drug is prescribed to relieve pain and reduce fever,429.93,AstraZeneca
8,HepaGam B,This medication is prescribed to treat depression and improve mood,437.27,Bristol-Myers Squibb
9,Wash-Up Towelette,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,341.03,Novartis
10,NABI-HB,This remedy is used to treat insomnia and promote sleep.,261.74,AbbVie
11,ADVAIR HFA,This medicine is used to manage anxiety and panic disorders,244.49,Roche
12,Smooth Brome,This prescription helps to control seizures in individuals with epilepsy,269.97,Bristol-Myers Squibb
13,Clindacin ETZ,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,344.98,Sanofi
14,DULOXETINE,This medicine is used to manage anxiety and panic disorders,444.52,Bristol-Myers Squibb
15,Neutrogena MoistureShine SPF20,This medication is prescribed to treat depression and improve mood,361.12,Roche
16,NASOPEN,This remedy is used to treat insomnia and promote sleep.,423.01,Johnson & Johnson
17,ACREMONIUM STRICTUM,This drug is prescribed to relieve pain and reduce fever,494.72,AstraZeneca
18,COLLAGEN HD COVER BB,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,344.57,GlaxoSmithKline
19,ibuprofen,This drug is used to relieve symptoms of allergies such as sneezing and itching,133.35,Roche
20,Furosemide,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,73.94,Pfizer
21,Honey Dont Cough,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,311.47,Johnson & Johnson
22,Kleenex Instant Hand Sanitizer,This drug is prescribed to relieve pain and reduce fever,360.37,Merck
23,Citalopram Hydrobromide,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,206.57,Sanofi
24,MUCOR RACEMOSUS,This medication is prescribed to treat depression and improve mood,473.19,Pfizer
25,leader nasal decongestant,This drug is prescribed to relieve pain and reduce fever,257.07,AstraZeneca
26,Risperidone,This medicine is used to manage anxiety and panic disorders,299.84,AbbVie
27,Tums,This medication is used to treat high blood pressure,440.52,Novartis
28,LBEL HYDRATESS,This medication is prescribed to treat depression and improve mood,276.65,GlaxoSmithKline
29,OXY Clinical Advanced Treatment,This drug is prescribed to relieve pain and reduce fever,144.66,Roche
30,CS Brain,This drug is used to relieve symptoms of allergies such as sneezing and itching,414.08,Sanofi
31,SambiFlu,This medication is used to treat high blood pressure,303.83,Johnson & Johnson
32,Oxygen,This medication is used to treat high blood pressure,273.4,AbbVie
33,Montelukast Sodium,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,389.93,Merck
34,Firefly Mouth Swoosh Anti-Cavity Fluoride Rinse,This drug is prescribed to relieve pain and reduce fever,233.77,Johnson & Johnson
35,Berkley and Jensen Naproxen Sodium,This prescription helps to control seizures in individuals with epilepsy,263.17,AbbVie
36,Metolazone,This drug is used to relieve symptoms of allergies such as sneezing and itching,469.52,AstraZeneca
37,Hydrogen Peroxide,This remedy is used to reduce inflammation and pain caused by arthritis,240.1,Novartis
38,FAST RELIEF REUMACETIN,This remedy is used to treat insomnia and promote sleep.,184.18,Novartis
39,PreferaOB One,This drug is used to relieve symptoms of allergies such as sneezing and itching,497.81,Merck
40,BOTANICAL VANILLA PACT,This medication is used to treat high blood pressure,370.51,Johnson & Johnson
41,Equaline Hemorrhoidal,This drug is prescribed to relieve pain and reduce fever,428.68,Novartis
42,Carbocaine,This remedy is used to treat insomnia and promote sleep.,347.47,Roche
43,FRAXINUS AMERICANA POLLEN,This drug is used to relieve symptoms of allergies such as sneezing and itching,290.24,Roche
44,Oat Smut,This medication is prescribed to treat depression and improve mood,455.2,Merck
45,Pink Eye Relief,This remedy is used to treat insomnia and promote sleep.,234.12,GlaxoSmithKline
46,DeNino Diaper Rash,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,104.26,Bristol-Myers Squibb
47,Sunmark Camphor Spirit,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,200.26,Johnson & Johnson
48,Xylocaine,This drug is prescribed to relieve pain and reduce fever,338.7,AstraZeneca
49,Atenolol and Chlorthalidone,This medication is used to treat high blood pressure,252.54,Sanofi
50,Ciprofloxacin,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,443.97,Sanofi
51,DEFEND Cough,This drug is prescribed to relieve pain and reduce fever,121.73,Johnson & Johnson
52,Prednisone,This medication is used to treat high blood pressure,312.46,Bristol-Myers Squibb
53,ALCOHOL PREP PAD - LARGE,This prescription helps to control seizures in individuals with epilepsy,139.61,Merck
54,Sucralfate,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,440.61,Novartis
55,Sugar Maple,This medication is used to treat high blood pressure,289.72,Johnson & Johnson
56,Ciclopirox,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,299.72,Merck
57,Rhus tox. 1 Special Order,This drug is prescribed to relieve pain and reduce fever,291.57,Novartis
58,Vicodin ES,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,223.72,Novartis
59,"Pollens - Trees, Ash, White Fraxinus americana",This prescription helps to control seizures in individuals with epilepsy,386.45,GlaxoSmithKline
60,Saline Nasal,This remedy is used to reduce inflammation and pain caused by arthritis,79.21,Novartis
61,PredniSONE,This remedy is used to treat insomnia and promote sleep.,454.64,AstraZeneca
62,Oxcarbazepine,This medication is prescribed to treat depression and improve mood,201.65,AstraZeneca
63,Amlodipine Besylate,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,483.72,Bristol-Myers Squibb
64,Childrens Fever Reliever,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,479.17,Johnson & Johnson
65,Doxycycline,This remedy is used to reduce inflammation and pain caused by arthritis,116.81,GlaxoSmithKline
